"name","type","degree_length","room_and_board","in_state_tuition","out_of_state_tuition","early_career_pay","mid_career_pay","stem_percent","total_minority_percentage"
"University of Alabama at Birmingham","Public","4 Year",6400,10710,24630,48600,87200,17,32.05
"University of North Carolina at Charlotte","Public","4 Year",11100,7044,20478,52500,92600,25,32.01
"Methodist University","Private","4 Year",12890,33846,33846,45800,80500,9,31.90
"Pfeiffer University","Private","4 Year",11226,30234,30234,44200,78000,4,31.84
"Austin Peay State University","Public","4 Year",10700,8411,24467,44200,78200,10,31.72
"Lawrence Technological University","Private","4 Year",9950,33570,33570,57900,108400,60,31.71
"Texas Tech University","Public","4 Year",9530,11045,23495,56800,106500,22,31.69
"Central Christian College of Kansas","Private","4 Year",8286,26674,26674,37100,66100,2,31.67
"Wayne State University","Public","4 Year",10427,13347,28241,50800,91700,21,31.64
"Harvard University","Private","4 Year",17160,50420,50420,74800,146800,19,31.62
"Arizona Christian University","Private","4 Year",10674,26796,26796,42600,76600,7,31.61
"University of Pennsylvania","Private","4 Year",15616,55584,55584,72800,133900,21,31.46
"Western Connecticut State University","Public","4 Year",13072,10819,22059,51700,88100,6,31.22
"New York University","Private","4 Year",18156,51828,51828,63100,117700,18,31.14
"University of Central Oklahoma","Public","4 Year",7970,7488,18376,45300,82900,8,31.13
"Loyola University Chicago","Private","4 Year",14480,44048,44048,53400,96000,15,31.01
"Johns Hopkins University","Private","4 Year",15836,54240,54240,67200,117100,31,30.83
"Yale University","Private","4 Year",16000,53430,53430,70300,138300,22,30.77
"Hofstra University","Private","4 Year",15948,46760,46760,57300,110400,7,30.70
"Baylor University","Private","4 Year",12595,45727,45727,55500,101400,16,30.65
"Bowdoin College","Private","4 Year",14698,53922,53922,61300,112000,37,30.47
"Dartmouth College","Private","4 Year",15756,55453,55453,71500,130900,35,30.42
"University of Portland","Private","4 Year",13450,45904,45904,58500,104900,28,30.41
"Smith College","Private","4 Year",17520,52404,52404,52700,98200,26,30.38
"Lake Forest College","Private","4 Year",10390,47064,47064,55400,102600,21,30.32
"Lewis University","Private","4 Year",10578,32450,32450,49700,89800,14,30.32
"Avila University","Private","4 Year",7200,19900,19900,45900,81200,3,30.26
"Knox College","Private","4 Year",9870,46554,46554,50600,95400,24,30.09
"Southern Nazarene University","Private","4 Year",8496,25188,25188,46100,81000,5,30.08
"Saint Martin's University","Private","4 Year",11445,37356,37356,53200,91800,29,29.98
"Mississippi College","Private","4 Year",10300,18026,18026,45200,79500,20,29.88
"Thomas Edison State University","Public","4 Year",0,7519,9967,52500,95600,0,29.88
"Rush University","Private","4 Year",0,24900,24900,63500,107600,6,29.71
"Florida State University","Public","4 Year",10816,6516,21683,50800,92700,18,29.69
"University of South Alabama","Public","4 Year",7620,9870,19740,47700,86400,17,29.64
"University of Louisiana at Monroe","Public","4 Year",7850,8734,20834,48500,92500,7,29.56
"University of Mobile","Private","4 Year",9600,22820,22820,40600,74100,7,29.56
"Towson University","Public","4 Year",13034,9940,23208,51200,91200,15,29.50
"Duke University","Private","4 Year",15178,55695,55695,71100,132100,26,29.49
"Shorter University","Private","4 Year",9400,22370,22370,45600,79900,6,29.37
"Alaska Pacific University","Private","4 Year",7300,20830,20830,50300,90000,6,29.36
"Seattle Pacific University","Private","4 Year",11796,42939,42939,53600,103400,9,29.36
"Northwestern University","Private","4 Year",16626,54567,54567,63400,115400,20,29.33
"Southern Connecticut State University","Public","4 Year",12860,10875,22115,48500,83600,6,29.33
"Middle Tennessee State University","Public","4 Year",9436,9206,28364,46500,81100,9,29.27
"Fordham University","Private","4 Year",17969,52687,52687,58700,112500,10,29.25
"Rhode Island School of Design","Private","4 Year",13400,50960,50960,55500,100600,0,29.24
"MCPHS University","Private","4 Year",16400,32705,32705,65900,121800,2,29.16
"Drew University","Private","4 Year",14108,39500,39500,52800,95000,16,29.15
"Maryland Institute College of Art","Private","4 Year",13280,48630,48630,49000,84500,0,29.09
"Haverford College","Private","4 Year",16402,54592,54592,59300,112300,36,28.89
"Regis University","Private","4 Year",11560,36810,36810,55500,94800,13,28.81
"Nicholls State University","Public","4 Year",9938,7982,9075,44500,84300,5,28.70
"University of Science and Arts of Oklahoma","Public","4 Year",6350,7215,17565,37300,67400,11,28.65
"Cornish College of the Arts","Private","4 Year",12400,41642,41642,49000,86400,0,28.55
"University of Illinois at Urbana-Champaign","Public","4 Year",11308,15094,31664,62600,115300,36,28.41
"Catawba College","Private","4 Year",10488,30520,30520,42500,78100,11,28.31
"University of North Florida","Public","4 Year",9976,6394,20112,48800,86600,11,28.27
"Louisiana College","Private","4 Year",5618,17000,17000,44800,79800,4,28.26
"Berea College","Private","4 Year",6764,39990,39990,39500,71600,27,28.13
"Belmont Abbey College","Private","4 Year",10355,18500,18500,46700,82900,7,28.08
"Drexel University","Private","4 Year",14079,53279,53279,61700,114800,28,28.08
"Centenary College of Louisiana","Private","4 Year",13400,36580,36580,47000,88400,26,27.95
"Coastal Carolina University","Public","4 Year",9190,11536,26648,44700,77600,14,27.94
"University of North Carolina at Chapel Hill","Public","4 Year",11190,8987,35170,55000,100800,19,27.93
"McPherson College","Private","4 Year",8788,28951,28951,44500,80900,9,27.92
"Eastern Michigan University","Public","4 Year",9854,13959,13959,47300,86700,6,27.79
"University of Wisconsin-Parkside","Public","4 Year",8026,7529,15518,46000,81400,17,27.78
"East Carolina University","Public","4 Year",9606,7188,23465,48400,85400,11,27.75
"Central Connecticut State University","Public","4 Year",12176,10616,21856,53100,93700,15,27.72
"William Penn University","Private","4 Year",6952,25600,25600,43900,78300,7,27.58
"University of Hartford","Private","4 Year",12476,40694,40694,55200,101600,15,27.52
"Rollins College","Private","4 Year",14735,49760,49760,49000,87000,7,27.47
"Central Washington University","Public","4 Year",11115,8072,23053,52700,93200,13,27.45
"Southeastern Louisiana University","Public","4 Year",8420,8165,20643,46700,83900,8,27.44
"Cleveland State University","Public","4 Year",13560,10625,14992,48300,88600,20,27.40
"Central Baptist College","Private","4 Year",7500,16200,16200,36900,68000,3,27.39
"University of Louisiana at Lafayette","Public","4 Year",8516,10616,24344,48200,92500,19,27.15
"Willamette University","Private","4 Year",12440,50074,50074,52200,97700,14,27.05
"Huntingdon College","Private","4 Year",9750,27400,27400,42400,78900,14,26.98
"Carnegie Mellon University","Private","4 Year",14418,55465,55465,75900,136100,66,26.95
"Rider University","Private","4 Year",14700,41310,41310,51600,99000,5,26.94
"Campbell University","Private","4 Year",11430,32500,32500,46300,82400,8,26.93
"Manhattan College","Private","4 Year",16200,43480,43480,64000,125700,40,26.93
"Portland State University","Public","4 Year",10428,9105,27060,50800,90500,16,26.82
"Southwestern Oklahoma State University","Public","4 Year",5830,7035,13935,47900,90800,5,26.73
"Reed College","Private","4 Year",14210,56340,56340,56100,104900,26,26.69
"Jacksonville University","Private","4 Year",14080,36670,36670,50100,90400,5,26.66
"New England College","Private","4 Year",14222,37914,37914,45700,86400,24,26.59
"Queens University of Charlotte","Private","4 Year",10860,34684,34684,49400,86600,9,26.51
