"name","type","state_code","degree_length","room_and_board","in_state_tuition","out_of_state_tuition","total_minority_percentage"
"Babson College","Private","MA","4 Year",16312,51104,51104,22.99
"Rockford University","Private","IL","4 Year",8660,30930,30930,22.94
"Trinity International University","Private","IL","4 Year",9900,32390,32390,22.93
"Salisbury University","Public","MD","4 Year",11950,9824,19526,22.83
"University of Dubuque","Private","IA","4 Year",9930,34110,34110,22.82
"Oklahoma Baptist University","Private","OK","4 Year",7350,28258,28258,22.79
"Rochester Community and Technical College","Public","MN","2 Year",0,6163,6163,22.73
"Cleveland Institute of Art","Private","OH","4 Year",14386,42055,42055,22.72
"Radford University","Public","VA","4 Year",9406,11210,22845,22.71
"Bristol Community College","Public","MA","2 Year",0,5970,12150,22.66
"Creighton University","Private","NE","4 Year",11036,39916,39916,22.63
"Southwestern Michigan College","Public","MI","2 Year",6500,5145,6675,22.63
"Alvernia University","Private","PA","4 Year",0,34885,34885,22.56
"Goucher College","Private","MD","4 Year",14506,44300,44300,22.55
"Kalamazoo Valley Community College","Public","MI","2 Year",0,3446,7646,22.54
"Kansas Wesleyan University","Private","KS","4 Year",9500,29500,29500,22.54
"Florida Southern College","Private","FL","4 Year",11650,36348,36348,22.51
"Wingate University","Private","NC","4 Year",10780,33166,33166,22.51
"Hudson Valley Community College","Public","NY","2 Year",0,5640,12915,22.5
"St. Mary's College of Maryland","Public","MD","4 Year",13202,14806,30568,22.49
"Fulton-Montgomery Community College","Public","NY","2 Year",11870,5460,10060,22.48
"Kellogg Community College","Public","MI","2 Year",0,4083,8350,22.48
"College of Saint Rose","Private","NY","4 Year",12714,32574,32574,22.47
"Asnuntuck Community College","Public","CT","2 Year",0,4404,13170,22.46
"Rainy River Community College","Public","MN","2 Year",4280,5325,6507,22.46
"Newman University","Private","KS","4 Year",8326,30724,30724,22.43
"Arcadia University","Private","PA","4 Year",13800,43580,43580,22.42
"Chipola College","Public","FL","2 Year",0,3160,8990,22.4
"Potomac State College of West Virginia University","Public","WV","2 Year",8524,4488,11376,22.4
"Stark State College","Public","OH","2 Year",0,5088,8958,22.39
"University of Oregon","Public","OR","4 Year",12963,11898,35478,22.38
"Boston Architectural College","Private","MA","4 Year",13280,21894,21894,22.37
"Oberlin College","Private","OH","4 Year",16338,55054,55054,22.36
"Western Iowa Tech Community College","Public","IA","2 Year",5650,5340,5370,22.33
"Catawba Valley Community College","Public","NC","2 Year",0,2400,8160,22.23
"Lakeland Community College","Public","OH","2 Year",0,3849,10038,22.19
"Red Rocks Community College","Public","CO","2 Year",0,4986,18848,22.15
"Randolph College","Private","VA","4 Year",13580,39585,39585,22.08
"Roberts Wesleyan College","Private","NY","4 Year",10628,31818,31818,22.08
"Berklee College of Music","Private","MA","4 Year",18180,42750,42750,22.07
"Missouri Valley College","Private","MO","4 Year",9150,20600,20600,22.06
"Marshalltown Community College","Public","IA","2 Year",0,5970,6390,22.0
"Oregon Institute of Technology","Public","OR","4 Year",9058,9987,28056,22.0
"Fontbonne University","Private","MO","4 Year",10530,26340,26340,21.99
"Brandeis University","Private","MA","4 Year",15440,55395,55395,21.98
"Pacific Northwest College of Art","Private","OR","4 Year",12860,38250,38250,21.97
"Skidmore College","Private","NY","4 Year",14494,54420,54420,21.96
"Sinclair Community College","Public","OH","2 Year",0,3650,9140,21.95
"Blackhawk Technical College","Public","WI","2 Year",0,4340,6623,21.89
"Oregon State University","Public","OR","4 Year",12855,11166,30141,21.88
"Weatherford College","Public","TX","2 Year",7580,2550,5610,21.84
"Olivet Nazarene University","Private","IL","4 Year",7900,36070,36070,21.83
"Stanly Community College","Public","NC","2 Year",0,2673,8817,21.79
"Cabrini University","Private","PA","4 Year",12266,31920,31920,21.74
"Clackamas Community College","Public","OR","2 Year",0,4944,12414,21.73
"Hampshire College","Private","MA","4 Year",13606,51668,51668,21.73
"Virginia Western Community College","Public","VA","2 Year",0,5355,11283,21.71
"Sarah Lawrence College","Private","NY","4 Year",15370,55900,55900,21.69
"University of New Haven","Private","CT","4 Year",15900,39270,39270,21.66
"College of Western Idaho","Public","ID","2 Year",0,4170,9180,21.65
"Johnson County Community College","Public","KS","2 Year",0,2790,6600,21.61
"Goshen College","Private","IN","4 Year",10650,33700,33700,21.59
"University of Tampa","Private","FL","4 Year",10810,29208,29208,21.59
"Eastern Connecticut State University","Public","CT","4 Year",13560,11356,22596,21.52
"University of Louisville","Public","KY","4 Year",9226,11656,27278,21.52
"University of Toledo","Public","OH","4 Year",11434,9795,19133,21.41
"Loyola University Maryland","Private","MD","4 Year",14430,49085,49085,21.4
"Jefferson Community College","Public","NY","2 Year",11666,5424,10176,21.37
"Tulane University","Private","LA","4 Year",15190,54820,54820,21.37
"San Francisco Conservatory of Music","Private","CA","4 Year",14510,46110,46110,21.34
"Spokane Falls Community College","Public","WA","2 Year",0,4861,10292,21.32
"Trevecca Nazarene University","Private","TN","4 Year",8400,25598,25598,21.3
"Bard College at Simon's Rock","Private","MA","4 Year",14916,55732,55732,21.28
"Bluegrass Community and Technical College","Public","KY","2 Year",0,5310,18000,21.27
"Hagerstown Community College","Public","MD","2 Year",0,4050,7920,21.26
"Millersville University of Pennsylvania","Public","PA","4 Year",13658,12226,21946,21.24
"University of Mississippi","Public","MS","4 Year",10696,8660,24614,21.22
"Northwestern Oklahoma State University","Public","OK","4 Year",4780,7036,14153,21.19
"University of North Carolina School of the Arts","Public","NC","4 Year",9021,9358,25501,21.19
"McKendree University","Private","IL","4 Year",9920,30520,30520,21.18
"Peninsula College","Public","WA","2 Year",0,5023,9852,21.18
"Northeast Mississippi Community College","Public","MS","2 Year",4480,3816,6656,21.14
"Jackson State Community College","Public","TN","2 Year",0,4425,13191,21.12
"Central Community College","Public","NE","2 Year",7106,3000,4320,21.11
"Oregon Health & Science University","Public","OR","4 Year",0,19176,33666,21.11
"Art Institute of Philadelphia","For Profit","PA","4 Year",0,14850,14850,21.1
"College of Court Reporting","For Profit","IN","2 Year",0,11250,11250,21.1
"Klamath Community College","Public","OR","2 Year",0,5496,8714,21.07
"Art Academy of Cincinnati","Private","OH","4 Year",6700,33889,33889,21.05
"Wake Forest University","Private","NC","4 Year",16032,53322,53322,21.03
"University of Notre Dame","Private","IN","4 Year",15410,53391,53391,21.02
"College for Creative Studies","Private","MI","4 Year",8800,44110,44110,20.97
"Meredith College","Private","NC","4 Year",10930,37176,37176,20.94
"Wagner College","Private","NY","4 Year",14124,47090,47090,20.93
"College of Saint Mary","Private","NE","4 Year",7700,20350,20350,20.92
"Whatcom Community College","Public","WA","2 Year",0,4513,10044,20.88
"Family of Faith College","Private","OK","4 Year",2400,6400,6400,20.83
"Quinebaug Valley Community College","Public","CT","2 Year",0,4399,13167,20.82
"Concordia University Wisconsin","Private","WI","4 Year",10860,29450,29450,20.79
"Dakota County Technical College","Public","MN","2 Year",0,5712,5712,20.79
"Macalester College","Private","MN","4 Year",12156,54344,54344,20.79
"Worcester State University","Public","MA","4 Year",12262,10161,16241,20.79
"Western Michigan University","Public","MI","4 Year",10143,12483,15373,20.78
"Georgia Northwestern Technical College","Public","GA","2 Year",0,3460,6258,20.77
"Harrisburg University of Science and Technology","Private","PA","4 Year",6800,23900,23900,20.74
"Erskine College","Private","SC","4 Year",10900,34560,34560,20.72
"Rogue Community College","Public","OR","2 Year",0,5550,6630,20.71
"University of Detroit Mercy","Private","MI","4 Year",9496,28000,28000,20.71
"Morgan Community College","Public","CO","2 Year",0,4645,18505,20.69
"Northeastern University","Private","MA","4 Year",16880,51387,51387,20.68
"Anoka-Ramsey Community College","Public","MN","2 Year",0,5073,5073,20.67
"Colorado Mountain College","Public","CO","2 Year",11658,2700,13890,20.67
"Wright State University","Public","OH","4 Year",11832,9254,18398,20.67
"Northeastern Junior College","Public","CO","2 Year",7080,5072,7910,20.66
"Emerson College","Private","MA","4 Year",17690,46852,46852,20.64
"Trocaire College","Private","NY","2 Year",0,17650,17650,20.59
"University of Montevallo","Public","AL","4 Year",9330,12760,25780,20.59
"Mohawk Valley Community College","Public","NY","2 Year",10470,5256,9626,20.56
"Presbyterian College","Private","SC","4 Year",10480,38660,38660,20.55
"Fond du Lac Tribal and Community College","Public","MN","2 Year",3598,5258,5258,20.54
"Lenoir-Rhyne University","Private","NC","4 Year",12510,36400,36400,20.54
"Tiffin University","Private","OH","4 Year",10600,25000,25000,20.54
"Lasell College","Private","MA","4 Year",15400,36000,36000,20.53
"Northwest Technical College","Public","MN","2 Year",0,5488,5488,20.53
"Hollins University","Private","VA","4 Year",13520,39035,39035,20.52
"Olivet College","Private","MI","4 Year",9590,27700,27700,20.51
"Danville Area Community College","Public","IL","2 Year",0,4650,7950,20.49
"Cincinnati Christian University","Private","OH","4 Year",8360,17528,17528,20.48
"Bates College","Private","ME","4 Year",15224,53794,53794,20.47
"Christopher Newport University","Public","VA","4 Year",11460,14754,27220,20.46
"Fisher College","Private","MA","4 Year",15926,31384,31384,20.43
"MidAmerica Nazarene University","Private","KS","4 Year",8708,30736,30736,20.43
"Trinity Bible College","Private","ND","4 Year",6132,16320,16320,20.43
"Tompkins Cortland Community College","Public","NY","2 Year",11220,6046,11296,20.42
"Saint Louis University","Private","MO","4 Year",12290,43884,43884,20.41
"Saint Anthony College of Nursing","Private","IL","4 Year",0,25948,25948,20.39
"Hesston College","Private","KS","2 Year",8800,26900,26900,20.33
"Immaculata University","Private","PA","4 Year",12620,27350,27350,20.31
"Nossi College of Art","For Profit","TN","2 Year",0,17700,17700,20.31
"Simmons College","Private","MA","4 Year",15200,40800,40800,20.3
"Siena Heights University","Private","MI","4 Year",10620,27124,27124,20.29
"Bridgewater College","Private","VA","4 Year",12720,35160,35160,20.28
"McNally Smith College of Music","Private","MN","4 Year",6260,29300,29300,20.27
"Villanova University","Private","PA","4 Year",14020,53308,53308,20.26
"Iowa Western Community College","Public","IA","2 Year",6430,5615,5765,20.25
"Monmouth University","Private","NJ","4 Year",13981,38138,38138,20.22
"University of North Alabama","Public","AL","4 Year",9200,10370,18680,20.22
"The Citadel","Public","SC","4 Year",6904,14289,36761,20.21
"Clark State Community College","Public","OH","2 Year",0,4480,8420,20.19
"Colby College","Private","ME","4 Year",14190,55210,55210,20.19
"Franklin & Marshall College","Private","PA","4 Year",14050,56750,56750,20.19
"Lane Community College","Public","OR","2 Year",0,5641,12683,20.15
"Whitman College","Private","WA","4 Year",13174,51764,51764,20.09
"College of the Ouachitas","Public","AR","2 Year",0,3680,6530,20.08
"Cornerstone University","Private","MI","4 Year",9300,24500,24500,20.04
"MacMurray College","Private","IL","4 Year",9440,27690,27690,20.04
"University of Rochester","Private","NY","4 Year",15938,53926,53926,20.01
"Macomb Community College","Public","MI","2 Year",0,3270,7380,19.99
"Western Piedmont Community College","Public","NC","2 Year",0,2418,8178,19.99
"Culver-Stockton College","Private","MO","4 Year",8520,26680,26680,19.98
"Illinois State University","Public","IL","4 Year",9850,14516,26040,19.98
"Wentworth Institute of Technology","Private","MA","4 Year",14190,33950,33950,19.94
"Framingham State University","Public","MA","4 Year",12306,10335,16415,19.91
"Brescia University","Private","KY","4 Year",9200,22400,22400,19.89
"Columbia-Greene Community College","Public","NY","2 Year",0,5094,9774,19.88
"Manhattanville College","Private","NY","4 Year",14520,38820,38820,19.86
"Colgate University","Private","NY","4 Year",13995,55870,55870,19.81
"West Chester University of Pennsylvania","Public","PA","4 Year",9716,10412,21986,19.81
"Toccoa Falls College","Private","GA","4 Year",8330,22744,22744,19.78
"Texas Christian University","Private","TX","4 Year",12804,46950,46950,19.74
"Illinois Central College","Public","IL","2 Year",0,4500,11340,19.72
"Abraham Baldwin Agricultural College","Public","GA","2 Year",8474,4128,12550,19.66
"Birmingham-Southern College","Private","AL","4 Year",12350,17650,17650,19.66
"Marquette University","Private","WI","4 Year",12720,41870,41870,19.66
"Massachusetts College of Liberal Arts","Public","MA","4 Year",10980,10734,19679,19.66
"Centralia College","Public","WA","2 Year",0,4438,4873,19.63
"Medical University of South Carolina","Public","SC","4 Year",0,26826,26826,19.63
"University of Akron","Public","OH","4 Year",12200,11463,17750,19.6
"University of Arkansas for Medical Sciences","Public","AR","4 Year",0,8197,15973,19.58
"Alfred University","Private","NY","4 Year",12516,33484,33484,19.57
"Rhodes College","Private","TN","4 Year",11403,47890,47890,19.57
"Carl Sandburg College","Public","IL","2 Year",0,5000,8330,19.55
"Maryville University of Saint Louis","Private","MO","4 Year",10088,28470,28470,19.46
"Baker University","Private","KS","4 Year",8410,29830,29830,19.45
"Lewis & Clark College","Private","OR","4 Year",12490,50934,50934,19.41
"Lake Erie College","Private","OH","4 Year",9908,31422,31422,19.39
"Ocean County College","Public","NJ","2 Year",0,4515,7695,19.34
"South Central College","Public","MN","2 Year",0,5416,5416,19.31
"Randolph-Macon College","Private","VA","4 Year",11860,41400,41400,19.3
"DePauw University","Private","IN","4 Year",13020,49704,49704,19.28
"Madonna University","Private","MI","4 Year",9950,21900,21900,19.23
"Whitworth University","Private","WA","4 Year",11496,43640,43640,19.22
"Cape Cod Community College","Public","MA","2 Year",0,6330,12510,19.2
"D'Youville College","Private","NY","4 Year",12224,26750,26750,19.2
"Naropa University","Private","CO","4 Year",12849,31790,31790,19.18
"Norwich University","Private","VT","4 Year",13840,40016,40016,19.17
"Cazenovia College","Private","NY","4 Year",14596,34630,34630,19.16
"Youngstown State University","Public","OH","4 Year",9400,8950,14950,19.16
"Barclay College","Private","KS","4 Year",9300,19690,19690,19.12
"University of Delaware","Public","DE","4 Year",12862,13680,34310,19.07
"University of Utah","Public","UT","4 Year",10262,9222,29215,19.02
"Iowa Central Community College","Public","IA","2 Year",6850,5490,7890,19.01
"Des Moines Area Community College","Public","IA","2 Year",7302,4710,9420,19.0
"Capital University","Private","OH","4 Year",10842,35466,35466,18.98
"Southwestern Oregon Community College","Public","OR","2 Year",7857,6009,6009,18.96
"University of Pittsburgh at Bradford","Public","PA","4 Year",9332,13900,25144,18.95
"Anoka Technical College","Public","MN","2 Year",0,5584,5584,18.91
"Western Oregon University","Public","OR","4 Year",10415,9540,26415,18.91
"Florida Institute of Technology","Private","FL","4 Year",12880,41850,41850,18.9
"Northwest Christian University","Private","OR","4 Year",9300,30050,30050,18.87
"Massachusetts College of Art and Design","Public","MA","4 Year",13500,13200,36400,18.85
"Kenyon College","Private","OH","4 Year",12510,55930,55930,18.83
"North Carolina State University","Public","NC","4 Year",11078,9101,28444,18.83
"University of North Georgia","Public","GA","4 Year",7876,7336,21148,18.83
"Ithaca College","Private","NY","4 Year",15562,43978,43978,18.82
"Lehigh University","Private","PA","4 Year",13600,52930,52930,18.82
"Illinois Institute of Technology","Private","IL","4 Year",12762,47296,47296,18.81
"Vincennes University","Public","IN","2 Year",9990,5902,13959,18.81
"Central Michigan University","Public","MI","4 Year",10076,12960,12960,18.76
"Cloud County Community College","Public","KS","2 Year",5900,3030,3470,18.74
"University of Denver","Private","CO","4 Year",13005,50556,50556,18.74
"Walsh College of Accountancy and Business Administration","Private","MI","4 Year",0,17625,17625,18.74
"Southern Virginia University","Private","VA","4 Year",6766,16495,16495,18.72
"Arkansas Tech University","Public","AR","4 Year",7870,9068,15848,18.66
"Bridgewater State University","Public","MA","4 Year",13090,10367,16507,18.64
"Maryville College","Private","TN","4 Year",11424,34880,34880,18.63
"Riverland Community College","Public","MN","2 Year",0,5580,5580,18.62
"Colorado Northwestern Community College","Public","CO","2 Year",7370,4906,7885,18.6
"Defiance College","Private","OH","4 Year",10220,32730,32730,18.59
"Athens State University","Public","AL","4 Year",0,6810,12870,18.57
"Carteret Community College","Public","NC","2 Year",0,2372,8132,18.57
"Columbia College of Nursing","Private","WI","4 Year",0,29700,29700,18.54
"University of Rhode Island","Public","RI","4 Year",12950,14138,30862,18.52
"Gonzaga University","Private","WA","4 Year",11944,43210,43210,18.5
"University of Kansas","Public","KS","4 Year",10350,11148,27358,18.5
"Linn-Benton Community College","Public","OR","2 Year",0,5290,11792,18.44
"Lawrence University","Private","WI","4 Year",10341,47475,47475,18.4
"Ashland University","Private","OH","4 Year",9941,21342,21342,18.39
"Kutztown University of Pennsylvania","Public","PA","4 Year",10334,10802,14660,18.29
"Millsaps College","Private","MS","4 Year",13730,39910,39910,18.29
"New England Conservatory of Music","Private","MA","4 Year",15900,48750,48750,18.29
"Adrian College","Private","MI","4 Year",11318,37087,37087,18.28
"Illinois Wesleyan University","Private","IL","4 Year",10984,47636,47636,18.28
"Cecil College","Public","MD","2 Year",0,4305,9015,18.27
"Southern Oregon University","Public","OR","4 Year",13199,9654,25584,18.27
"Minneapolis College of Art and Design","Private","MN","4 Year",5610,39210,39210,18.26
"Coe College","Private","IA","4 Year",9480,45000,45000,18.25
"Briar Cliff University","Private","IA","4 Year",9020,31964,31964,18.24
"Bentley University","Private","MA","4 Year",16320,49880,49880,18.2
"Connecticut College","Private","CT","4 Year",15150,54820,54820,18.11
"Nazarene Bible College","Private","CO","4 Year",0,14700,14700,18.11
"Oakland University","Public","MI","4 Year",10100,12606,24230,18.08
"Florida Gateway College","Public","FL","2 Year",0,3100,11747,18.06
"Spring Arbor University","Private","MI","4 Year",10010,28810,28810,18.06
"Western New England University","Private","MA","4 Year",13590,36804,36804,18.05
"Berkshire Community College","Public","MA","2 Year",0,8569,15589,18.03
"Baldwin Wallace University","Private","OH","4 Year",9554,32586,32586,18.02
"Clatsop Community College","Public","OR","2 Year",0,5130,9720,17.97
"Grand View University","Private","IA","4 Year",9178,27608,27608,17.97
"McDaniel College","Private","MD","4 Year",11430,43260,43260,17.97
"George Fox University","Private","OR","4 Year",11250,36020,36020,17.93
"Curry College","Private","MA","4 Year",15885,39720,39720,17.92
"Marylhurst University","Private","OR","4 Year",0,20835,20835,17.91
"North Central College","Private","IL","4 Year",11019,38880,38880,17.88
"Valparaiso University","Private","IN","4 Year",11860,40260,40260,17.88
"Quinnipiac University","Private","CT","4 Year",14540,47960,47960,17.86
"Rochester Institute of Technology","Private","NY","4 Year",13046,44130,44130,17.84
"Waukesha County Technical College","Public","WI","2 Year",0,4268,6281,17.82
"Lord Fairfax Community College","Public","VA","2 Year",0,4739,10667,17.81
"Eckerd College","Private","FL","4 Year",12588,44540,44540,17.76
"Ohio Wesleyan University","Private","OH","4 Year",12430,45760,45760,17.76
"Manhattan Area Technical College","Public","KS","2 Year",0,6000,6000,17.75
"Beloit College","Private","WI","4 Year",8830,50040,50040,17.73
"Delta College","Public","MI","2 Year",0,3400,10870,17.73
"Longwood University","Public","VA","4 Year",11746,13340,29300,17.7
"New England Institute of Technology","Private","RI","4 Year",13065,29940,29940,17.69
"Marist College","Private","NY","4 Year",15550,39600,39600,17.67
"Shippensburg University of Pennsylvania","Public","PA","4 Year",12268,12718,20510,17.66
"Hendrix College","Private","AR","4 Year",12284,45790,45790,17.6
"Richland Community College","Public","IL","2 Year",0,4410,14490,17.6
"Thiel College","Private","PA","4 Year",12600,31700,31700,17.6
"Emmaus Bible College","Private","IA","4 Year",8500,18400,18400,17.59
"Lipscomb University","Private","TN","4 Year",12652,32144,32144,17.58
"Bevill State Community College","Public","AL","2 Year",1300,4770,8640,17.57
"Niagara County Community College","Public","NY","2 Year",0,5027,11615,17.55
"Elms College","Private","MA","4 Year",13108,35788,35788,17.53
"Tri-County Technical College","Public","SC","2 Year",0,5408,12188,17.52
"Allegheny College","Private","PA","4 Year",12140,47540,47540,17.5
"Labette Community College","Public","KS","2 Year",0,3060,3810,17.5
"Greenfield Community College","Public","MA","2 Year",0,6932,14582,17.49
"Hampden-Sydney College","Private","VA","4 Year",13558,45746,45746,17.47
"Westfield State University","Public","MA","4 Year",10948,10429,16509,17.47
"Eastern Mennonite University","Private","VA","4 Year",11160,37100,37100,17.46
"Lesley University","Private","MA","4 Year",16230,28770,28770,17.45
"Snead State Community College","Public","AL","2 Year",3611,4800,8670,17.45
"Daemen College","Private","NY","4 Year",12915,28580,28580,17.43
"Manchester University","Private","IN","4 Year",9580,32758,32758,17.41
"Piedmont College","Private","GA","4 Year",10168,25920,25920,17.41
"University of Tulsa","Private","OK","4 Year",11116,41509,41509,17.34
"Michigan State University","Public","MI","4 Year",10322,14460,39765,17.33
"Peru State College","Public","NE","4 Year",8010,7452,7482,17.33
"Silver Lake College of the Holy Family","Private","WI","4 Year",8400,28390,28390,17.33
"Louisiana Tech University","Public","LA","4 Year",6495,9645,18558,17.32
"Boise State University","Public","ID","4 Year",10692,7694,23776,17.29
"Fort Scott Community College","Public","KS","2 Year",5770,2880,3330,17.29
"National Paralegal College","For Profit","AZ","4 Year",0,7995,7995,17.29
"University of North Carolina at Wilmington","Public","NC","4 Year",10686,7000,21065,17.28
"Yavapai College","Public","AZ","2 Year",9698,2610,10980,17.28
"St. Andrews University","Private","NC","4 Year",10706,26648,26648,17.2
"Wofford College","Private","SC","4 Year",12685,43845,43845,17.19
"Wabash College","Private","IN","4 Year",10050,43450,43450,17.17
"University of Charleston","Private","WV","4 Year",9180,30900,30900,17.15
"Hartwick College","Private","NY","4 Year",12460,45510,45510,17.14
"James Madison University","Public","VA","4 Year",10092,12016,28416,17.14
"Allen County Community College","Public","KS","2 Year",5070,3150,3150,17.12
"DigiPen Institute of Technology","For Profit","WA","4 Year",0,30350,30350,17.09
"New York School of Interior Design","Private","NY","4 Year",21300,30834,30834,17.07
"Virginia Military Institute","Public","VA","4 Year",9428,18862,45706,17.06
"Itasca Community College","Public","MN","2 Year",5920,5920,7102,17.02
"Hilbert College","Private","NY","4 Year",9350,22400,22400,17.0
"Williston State College","Public","ND","2 Year",7950,5304,5304,16.99
"Florida College","Private","FL","4 Year",8370,17142,17142,16.94
"Manhattan School of Music","Private","NY","4 Year",13135,47300,47300,16.93
"Bergin University of Canine Studies","Private","CA","4 Year",0,9450,9450,16.92
"Montserrat College of Art","Private","MA","4 Year",9900,33400,33400,16.92
"Nichols College","Private","MA","4 Year",13950,34800,34800,16.92
"Siena College","Private","NY","4 Year",15000,37575,37575,16.89
"Lafayette College","Private","PA","4 Year",15640,52880,52880,16.86
"Washburn University","Public","KS","4 Year",8237,8870,19940,16.86
"Lincoln Christian University","Private","IL","4 Year",7564,13200,13200,16.81
"Luzerne County Community College","Public","PA","2 Year",0,5430,13230,16.81
"Central Ohio Technical College","Public","OH","2 Year",0,4536,7296,16.79
"University of Pittsburgh at Greensburg","Public","PA","4 Year",0,13890,25134,16.79
"Blackburn College","Private","IL","4 Year",7930,22410,22410,16.75
"Bellingham Technical College","Public","WA","2 Year",0,2790,3460,16.73
"College of Charleston","Public","SC","4 Year",12166,12738,31920,16.73
"Shawnee Community College","Public","IL","2 Year",0,3600,5910,16.73
"Holy Family University","Private","PA","4 Year",13576,30346,30346,16.7
"Muskegon Community College","Public","MI","2 Year",0,4515,10020,16.66
"Kentucky Wesleyan College","Private","KY","4 Year",9764,26440,26440,16.64
"Freed-Hardeman University","Private","TN","4 Year",8260,21950,21950,16.6
"Laramie County Community College","Public","WY","2 Year",7200,3426,7938,16.59
"Mayville State University","Public","ND","4 Year",7840,6666,9399,16.56
"Western Carolina University","Public","NC","4 Year",9682,4220,8220,16.55
"Sauk Valley Community College","Public","IL","2 Year",0,4470,12120,16.46
"Cleveland Institute of Music","Private","OH","4 Year",15048,41987,41987,16.44
"Anna Maria College","Private","MA","4 Year",14630,37860,37860,16.43
"Dawson Community College","Public","MT","2 Year",6075,3720,7770,16.39
"Fitchburg State University","Public","MA","4 Year",10922,10355,16435,16.36
"Georgia College and State University","Public","GA","4 Year",11016,9346,28060,16.36
"Bucks County Community College","Public","PA","2 Year",1500,5660,14660,16.34
"Quincy University","Private","IL","4 Year",10500,28462,28462,16.34
"Volunteer State Community College","Public","TN","2 Year",0,4229,16517,16.34
"Multnomah University","Private","OR","4 Year",8870,25900,25900,16.33
"Goldey-Beacom College","Private","DE","4 Year",6400,24300,24300,16.3
"University of Great Falls","Private","MT","4 Year",9200,25318,25318,16.29
"Bryant University","Private","RI","4 Year",15702,43973,43973,16.26
"Minnesota West Community and Technical College","Public","MN","2 Year",0,5692,5692,16.25
"Western State Colorado University","Public","CO","4 Year",9635,10114,21586,16.25
"DeSales University","Private","PA","4 Year",12800,37600,37600,16.21
"Motlow State Community College","Public","TN","2 Year",0,4445,13211,16.16
"Good Samaritan College of Nursing and Health Science","Private","OH","2 Year",0,15959,15959,16.15
"Heritage Christian University","Private","AL","4 Year",5745,12312,12312,16.13
"William Jewell College","Private","MO","4 Year",9930,34400,34400,16.13
"Nashua Community College","Public","NH","2 Year",0,7140,15030,16.12
"Emporia State University","Public","KS","4 Year",8912,6758,20675,16.11
"Colorado School of Mines","Public","CO","4 Year",13169,18964,38584,16.1
"Bloomsburg University of Pennsylvania","Public","PA","4 Year",9686,10958,22532,16.09
"Midland University","Private","NE","4 Year",8776,32558,32558,16.08
"Missouri Western State University","Public","MO","4 Year",0,6466,14137,16.08
"University of Indianapolis","Private","IN","4 Year",10288,29688,29688,16.08
"Kirkwood Community College","Public","IA","2 Year",0,5170,6550,16.07
"Northwest-Shoals Community College","Public","AL","2 Year",0,4695,8565,16.06
"University of Kentucky","Public","KY","4 Year",12982,12245,29099,16.02
"Cumberland University","Private","TN","4 Year",9290,22890,22890,16.0
"Minot State University","Public","ND","4 Year",6610,7064,7064,15.98
"Western Wyoming Community College","Public","WY","2 Year",5740,2712,7224,15.96
"Dickinson College","Private","PA","4 Year",13698,54661,54661,15.91
"Hamline University","Private","MN","4 Year",10358,41298,41298,15.91
"Surry Community College","Public","NC","2 Year",0,2383,8143,15.91
"Wittenberg University","Private","OH","4 Year",10356,39500,39500,15.89
"Assumption College","Private","MA","4 Year",12694,40958,40958,15.85
"Saginaw Valley State University","Public","MI","4 Year",10186,10308,24215,15.83
"John Brown University","Private","AR","4 Year",9224,26928,26928,15.82
"Missouri Southern State University","Public","MO","4 Year",6865,6967,13934,15.8
"Ferris State University","Public","MI","4 Year",9894,12630,12630,15.78
"Brevard College","Private","NC","4 Year",9900,29350,29350,15.74
"Lyon College","Private","AR","4 Year",9130,28790,28790,15.73
"Western Kentucky University","Public","KY","4 Year",8343,10602,26496,15.72
"Asheville-Buncombe Technical Community College","Public","NC","2 Year",0,2354,8114,15.65
"Eastern Oregon University","Public","OR","4 Year",10040,8679,20739,15.63
"Haywood Community College","Public","NC","2 Year",0,2383,8143,15.61
"Lower Columbia College","Public","WA","2 Year",0,4624,5102,15.59
"St. Olaf College","Private","MN","4 Year",10850,47840,47840,15.59
"Moberly Area Community College","Public","MO","2 Year",7872,3450,6840,15.58
"Moravian College","Private","PA","4 Year",13378,43636,43636,15.58
"Clark University","Private","MA","4 Year",9170,45730,45730,15.57
"Rockhurst University","Private","MO","4 Year",10200,37590,37590,15.56
"Moody Bible Institute","Private","IL","4 Year",11820,13565,13565,15.53
"University of Cincinnati","Public","OH","4 Year",11118,11000,26334,15.53
"Worcester Polytechnic Institute","Private","MA","4 Year",14774,50530,50530,15.53
"Emory & Henry College","Private","VA","4 Year",12100,35135,35135,15.51
"Central Oregon Community College","Public","OR","2 Year",10770,4938,13218,15.48
"Saint Luke's College of Health Sciences","Private","MO","4 Year",0,17045,17045,15.45
"Tusculum College","Private","TN","4 Year",9190,24860,24860,15.41
"Illinois Valley Community College","Public","IL","2 Year",0,4015,11793,15.4
"York College of Pennsylvania","Private","PA","4 Year",11200,20100,20100,15.39
"Elon University","Private","NC","4 Year",12230,35319,35319,15.35
"Glenville State College","Public","WV","4 Year",0,7327,16565,15.32
"Elizabethtown Community and Technical College","Public","KY","2 Year",0,5310,18000,15.31
"Vermilion Community College","Public","MN","2 Year",6290,5324,6506,15.31
"Columbia State Community College","Public","TN","2 Year",0,4473,17379,15.26
"Bucknell University","Private","PA","4 Year",13662,56092,56092,15.23
"West Virginia University Institute of Technology","Public","WV","4 Year",11390,7464,18648,15.23
