"name","type","state_code","degree_length","room_and_board","in_state_tuition","out_of_state_tuition","total_minority_percentage"
"University of Texas at San Antonio","Public","TX","4 Year",11578,9900,24262,65.5
"Pacific Oaks College","Private","CA","4 Year",0,34830,34830,65.22
"College of San Mateo","Public","CA","2 Year",0,1418,8648,65.07
"Housatonic Community College","Public","CT","2 Year",0,4394,13162,64.93
"Houston Baptist University","Private","TX","4 Year",8814,32530,32530,64.71
"Woodland Community College","Public","CA","2 Year",0,1400,8420,64.6
"Allan Hancock College","Public","CA","2 Year",0,1418,7898,64.42
"Mississippi Delta Community College","Public","MS","2 Year",3480,3060,4668,64.36
"Roanoke-Chowan Community College","Public","NC","2 Year",0,2490,8250,64.05
"Community College of Philadelphia","Public","PA","2 Year",0,5448,14712,63.87
"Bunker Hill Community College","Public","MA","2 Year",0,5580,11760,63.85
"Chaminade University of Honolulu","Private","HI","4 Year",13630,25374,25374,63.79
"Saint Peter's University","Private","NJ","4 Year",15414,37486,37486,63.57
"Southeast Arkansas College","Public","AR","2 Year",0,3850,6730,63.55
"Estrella Mountain Community College","Public","AZ","2 Year",0,2580,9810,63.39
"Phoenix College","Public","AZ","2 Year",0,2580,9810,63.23
"San Jose State University","Public","CA","4 Year",16442,7796,17300,63.16
"St. Mary's University","Private","TX","4 Year",10270,30650,30650,62.98
"Santa Ana College","Public","CA","2 Year",0,1418,10208,62.88
"College of the Canyons","Public","CA","2 Year",0,1154,7034,62.79
"Benjamin Franklin Institute of Technology","Private","MA","2 Year",12400,18690,18690,62.72
"Crossroads Bible College","Private","IN","4 Year",0,12400,12400,62.66
"Austin Graduate School of Theology","Private","TX","4 Year",0,11900,11900,62.5
"Durham Technical Community College","Public","NC","2 Year",0,2372,8132,62.5
"San Diego Mesa College","Public","CA","2 Year",0,1418,8048,62.48
"Santa Monica College","Public","CA","2 Year",0,1444,11164,62.07
"Central New Mexico Community College","Public","NM","2 Year",0,1626,7338,61.99
"New Jersey City University","Public","NJ","4 Year",12738,12051,21573,61.75
"Halifax Community College","Public","NC","2 Year",0,2452,8212,61.72
"Whittier College","Private","CA","4 Year",14410,48086,48086,61.27
"Odessa College","Public","TX","2 Year",5412,2794,5450,61.1
"World Mission University","Private","CA","4 Year",0,7200,7200,60.99
"Belhaven University","Private","MS","4 Year",8500,25300,25300,60.96
"Hinds Community College","Public","MS","2 Year",4120,3130,6170,60.55
"San Francisco State University","Public","CA","4 Year",15151,7260,19140,60.55
"Ohlone College","Public","CA","2 Year",0,1419,8409,60.43
"University of Houston","Public","TX","4 Year",10270,12506,27956,60.24
"Orange Coast College","Public","CA","2 Year",0,1438,9568,60.16
"Wharton County Junior College","Public","TX","2 Year",4200,3030,6120,60.08
"Delgado Community College","Public","LA","2 Year",0,4079,5154,59.77
"Andrew College","Private","GA","2 Year",10636,17388,17388,59.74
"Westchester Community College","Public","NY","2 Year",0,4852,12242,59.71
"Crafton Hills College","Public","CA","2 Year",0,1425,10125,59.59
"University of Houston-Victoria","Public","TX","4 Year",8045,7970,20420,59.52
"Harcum College","Private","PA","2 Year",10200,24200,24200,59.51
"San Diego Miramar College","Public","CA","2 Year",0,1437,8067,59.49
"Georgia State University","Public","GA","4 Year",11378,10858,29432,59.39
"Newbury College","Private","MA","4 Year",14900,35540,35540,59.27
"Fayetteville Technical Community College","Public","NC","2 Year",0,2392,8152,59.26
"Triton College","Public","IL","2 Year",0,4650,12539,59.26
"Bay Mills Community College","Public","MI","2 Year",0,3250,3250,59.1
"Santiago Canyon College","Public","CA","2 Year",0,1418,10208,59.04
"Georgia Gwinnett College","Public","GA","4 Year",12870,6124,18552,59.01
"Palo Verde College","Public","CA","2 Year",0,1380,9120,58.76
"Savannah Technical College","Public","GA","2 Year",0,3278,5948,58.44
"New Mexico Military Institute","Public","NM","2 Year",5576,6797,14469,58.39
"Modesto Junior College","Public","CA","2 Year",0,1416,9156,58.28
"Humphreys College","Private","CA","4 Year",0,14292,14292,58.22
"Mercy College","Private","NY","4 Year",14400,19042,19042,58.04
"Orangeburg-Calhoun Technical College","Public","SC","2 Year",0,5750,9200,58.04
"Kentucky State University","Public","KY","4 Year",6690,8090,19390,57.89
"Irvine Valley College","Public","CA","2 Year",0,1418,9608,57.5
"Norwalk Community College","Public","CT","2 Year",0,4399,13167,57.47
"Central Georgia Technical College","Public","GA","2 Year",0,3308,5978,57.23
"Warner University","Private","FL","4 Year",8520,21840,21840,57.19
"Valencia College","Public","FL","2 Year",0,3366,12828,57.17
"University of North Carolina at Pembroke","Public","NC","4 Year",8924,3418,7418,57.12
"Lee College","Public","TX","2 Year",0,2643,5313,57.0
"Minneapolis Community and Technical College","Public","MN","2 Year",11058,5396,5396,56.79
"Foothill College","Public","CA","2 Year",0,1499,9419,56.64
"Gwinnett Technical College","Public","GA","2 Year",0,3506,6176,56.51
"Midland College","Public","TX","2 Year",5224,2670,5550,56.47
"Middlesex County College","Public","NJ","2 Year",0,4410,4410,56.34
"Northern Virginia Community College","Public","VA","2 Year",0,5610,11618,56.2
"University of La Verne","Private","CA","4 Year",12850,43050,43050,55.98
"Nova Southeastern University","Private","FL","4 Year",13250,30900,30900,55.9
"Augusta Technical College","Public","GA","2 Year",0,3494,6164,55.89
"Bladen Community College","Public","NC","2 Year",0,2528,8672,55.85
"South Coast College","For Profit","CA","2 Year",0,11594,11594,55.85
"University of the Pacific","Private","CA","4 Year",13650,48040,48040,55.84
"Las Positas College","Public","CA","2 Year",0,1436,9686,55.8
"New Mexico State University at Carlsbad","Public","NM","2 Year",0,1376,1376,55.67
"Palm Beach State College","Public","FL","2 Year",0,3030,10890,55.62
